,upper,lower,power
2011-01-01 17:15:00,3.6476480515471716,1.9246348736719299,3.568185989328962
2011-01-01 17:30:00,3.7768171694975434,1.9746119625719798,3.784685987563185
2011-01-01 17:45:00,3.913444875614541,2.0213411032541253,3.852185986752939
2011-01-01 18:00:00,4.031794234577854,2.0361093778715063,3.7643859878213535
2011-01-01 18:15:00,4.142107659243801,2.043983810124225,3.8230859877572803
2011-01-01 18:30:00,4.2793634104806095,2.0567193583642407,4.065285986571907
2011-01-01 18:45:00,4.403875592796424,2.079761851936816,4.1972859860894856
2011-01-01 19:00:00,4.510564795512072,2.0975404704890717,4.29638598491751
2011-01-01 19:15:00,4.617295466762336,2.114842001008104,4.388085984441793
2011-01-01 19:30:00,4.702375517043588,2.1418473879543627,4.421085984262979
